Name,Stock_A
Symbol,AAA
Exchange,Exchange_01
Current Price,0.00

Stock Activity

Year,Month,Day,High,Low,Close,Volume
0,0,0,51.00,49.00,50.00,10000
0,0,1,-1.00,-1.00,51.14,-1
0,0,2,-1.00,-1.00,46.45,-1
0,0,3,-1.00,-1.00,46.28,-1
0,0,4,-1.00,-1.00,38.88,-1
0,0,5,-1.00,-1.00,42.80,-1
0,0,6,-1.00,-1.00,44.96,-1
0,0,7,-1.00,-1.00,38.53,-1
0,0,8,-1.00,-1.00,34.92,-1
0,0,9,-1.00,-1.00,37.31,-1
0,0,10,-1.00,-1.00,43.18,-1
0,0,11,-1.00,-1.00,44.20,-1
0,0,12,-1.00,-1.00,37.17,-1
0,0,13,-1.00,-1.00,35.32,-1
0,0,14,-1.00,-1.00,33.52,-1
0,0,15,-1.00,-1.00,36.58,-1
0,0,16,-1.00,-1.00,30.75,-1
0,0,17,-1.00,-1.00,29.77,-1
0,0,18,-1.00,-1.00,31.23,-1
0,0,19,-1.00,-1.00,28.84,-1
0,0,20,-1.00,-1.00,20.63,-1
0,0,21,-1.00,-1.00,14.73,-1
0,0,22,-1.00,-1.00,17.71,-1
0,0,23,-1.00,-1.00,9.60,-1
0,0,24,-1.00,-1.00,11.03,-1
0,0,25,-1.00,-1.00,21.83,-1
0,0,26,-1.00,-1.00,24.20,-1
0,0,27,-1.00,-1.00,25.57,-1
0,0,28,-1.00,-1.00,21.17,-1
0,0,29,-1.00,-1.00,13.19,-1
0,0,30,-1.00,-1.00,9.18,-1
0,0,31,-1.00,-1.00,2.89,-1
0,0,32,-1.00,-1.00,6.23,-1
0,0,33,-1.00,-1.00,9.16,-1
0,0,34,-1.00,-1.00,7.19,-1
0,0,35,-1.00,-1.00,2.78,-1
0,0,36,-1.00,-1.00,0.93,-1
0,0,37,-1.00,-1.00,0.00,-1
0,0,38,-1.00,-1.00,0.00,-1
0,0,39,-1.00,-1.00,0.00,-1
0,0,40,-1.00,-1.00,0.00,-1
0,0,41,-1.00,-1.00,0.00,-1
0,0,42,-1.00,-1.00,0.00,-1
0,0,43,-1.00,-1.00,0.00,-1
0,0,44,-1.00,-1.00,0.00,-1
0,0,45,-1.00,-1.00,0.00,-1
0,0,46,-1.00,-1.00,0.00,-1
0,0,47,-1.00,-1.00,0.00,-1
0,0,48,-1.00,-1.00,0.00,-1
0,0,49,-1.00,-1.00,0.00,-1
0,0,50,-1.00,-1.00,0.00,-1
0,0,51,-1.00,-1.00,0.00,-1
0,0,52,-1.00,-1.00,0.00,-1
